"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1633","Registration with correct email, username and password","LMS system","Sat Feb 28 12:16:08 UTC 2026","passed","Sat Feb 28 12:16:09 UTC 2026","Registration","Authentication","",""
"","1713","Check displaying of dashboard page","LMS system","Sat Feb 28 12:16:14 UTC 2026","passed","Sat Feb 28 12:16:15 UTC 2026","Dashboard","Dashboard","",""
"","1539","User login with wrong email or password","LMS system","Sat Feb 28 12:16:06 UTC 2026","passed","Sat Feb 28 12:16:07 UTC 2026","Authorization","Authentication","",""
"","1467","Navigation from login page to registration page","LMS system","Sat Feb 28 12:16:07 UTC 2026","passed","Sat Feb 28 12:16:08 UTC 2026","Authorization","Authentication","",""
"","2220","Create course","LMS system","Sat Feb 28 12:16:11 UTC 2026","passed","Sat Feb 28 12:16:13 UTC 2026","Courses","Courses","",""
"","2772","test_edit_course[chromium]","LMS system","Sat Feb 28 12:16:12 UTC 2026","passed","Sat Feb 28 12:16:14 UTC 2026","Courses","Courses","",""
"","3220","User login with correct email and password","LMS system","Sat Feb 28 12:16:02 UTC 2026","passed","Sat Feb 28 12:16:05 UTC 2026","Authorization","Authentication","",""
"","1314","Check displaying of empty courses list","LMS system","Sat Feb 28 12:16:10 UTC 2026","passed","Sat Feb 28 12:16:11 UTC 2026","Courses","Courses","",""
"","1858","User login with wrong email or password","LMS system","Sat Feb 28 12:16:05 UTC 2026","passed","Sat Feb 28 12:16:07 UTC 2026","Authorization","Authentication","",""
"","2152","User login with wrong email or password","LMS system","Sat Feb 28 12:16:02 UTC 2026","passed","Sat Feb 28 12:16:04 UTC 2026","Authorization","Authentication","",""
