"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1803","User login with wrong email or password","LMS system","Sat Feb 28 10:11:14 UTC 2026","passed","Sat Feb 28 10:11:16 UTC 2026","Authorization","Authentication","",""
"","2868","test_edit_course[chromium]","LMS system","Sat Feb 28 10:11:21 UTC 2026","passed","Sat Feb 28 10:11:23 UTC 2026","Courses","Courses","",""
"","1721","Check displaying of dashboard page","LMS system","Sat Feb 28 10:11:23 UTC 2026","passed","Sat Feb 28 10:11:24 UTC 2026","Dashboard","Dashboard","",""
"","1597","Registration with correct email, username and password","LMS system","Sat Feb 28 10:11:17 UTC 2026","passed","Sat Feb 28 10:11:18 UTC 2026","Registration","Authentication","",""
"","3020","User login with correct email and password","LMS system","Sat Feb 28 10:11:11 UTC 2026","passed","Sat Feb 28 10:11:14 UTC 2026","Authorization","Authentication","",""
"","1351","Check displaying of empty courses list","LMS system","Sat Feb 28 10:11:19 UTC 2026","passed","Sat Feb 28 10:11:20 UTC 2026","Courses","Courses","",""
"","2217","Create course","LMS system","Sat Feb 28 10:11:20 UTC 2026","passed","Sat Feb 28 10:11:22 UTC 2026","Courses","Courses","",""
"","1661","User login with wrong email or password","LMS system","Sat Feb 28 10:11:15 UTC 2026","passed","Sat Feb 28 10:11:17 UTC 2026","Authorization","Authentication","",""
"","1346","Navigation from login page to registration page","LMS system","Sat Feb 28 10:11:16 UTC 2026","passed","Sat Feb 28 10:11:17 UTC 2026","Authorization","Authentication","",""
"","1937","User login with wrong email or password","LMS system","Sat Feb 28 10:11:11 UTC 2026","passed","Sat Feb 28 10:11:13 UTC 2026","Authorization","Authentication","",""
